Date,Open,High,Low,Close,Volume,Ticker
2015-01-02,24.671150729967486,24.68222562747745,23.776353422468404,24.214893341064453,212818400,AAPL
2015-01-05,23.98455094740397,24.064285483437537,23.346676348927705,23.53272247314453,257142000,AAPL
2015-01-06,23.59695227731193,23.794073292366384,23.173916188735014,23.534936904907227,263188400,AAPL
2015-01-07,23.743134950714406,23.96461942484343,23.632392713649896,23.864952087402344,160423600,AAPL
2015-01-08,24.19274693245928,24.8394811133024,24.075358755914475,24.78189468383789,237458000,AAPL
2015-01-09,24.954652444574595,25.083113830448443,24.40980090321807,24.808473587036133,214798000,AAPL
2015-01-12,24.93914264604344,24.94578690755525,24.09750295530747,24.19717025756836,198603200,AAPL
2015-01-13,24.68001189187252,24.983446191297645,24.12187183131408,24.412015914916992,268367600,AAPL
2015-01-14,24.150658281810266,24.47180997396581,24.03105650747729,24.318986892700195,195826400,AAPL
2015-01-15,24.363292491574416,24.3765810194726,23.62353514883972,23.658971786499023,240056000,AAPL
2015-01-16,23.705475976187053,23.827293076803485,23.300159102999935,23.47513198852539,314053200,AAPL
2015-01-20,23.884875146679487,24.13515358193229,23.58808688337833,24.079782485961918,199599600,AAPL
2015-01-21,24.13072646769229,24.59805872103091,23.98011699709323,24.26361846923828,194303600,AAPL
2015-01-22,24.420878854689395,24.910359345032568,24.301277034591283,24.894855499267575,215185600,AAPL
2015-01-23,24.872702135178624,25.19385388237781,24.702158177998957,25.023311614990234,185859200,AAPL
2015-01-26,25.19163467409649,25.32895560764828,24.983440491359584,25.049884796142575,222460000,AAPL
2015-01-27,24.899278232187047,24.912568446521064,24.14844617930842,24.17280960083008,382274800,AAPL
2015-01-28,26.05321340320937,26.161741992686807,25.539369583129883,25.539369583129883,585908400,AAPL
2015-01-29,25.763070983758755,26.398731959324124,25.594742329744967,26.33450126647949,337745600,AAPL
2015-01-30,26.22375789148857,26.578132655604872,25.88045633543681,25.94911766052246,334982000,AAPL
2015-02-02,26.146240465741013,26.39430197270769,25.70991582107561,26.27470016479492,250956400,AAPL
2015-02-03,26.24590602450807,26.376581032432806,26.04878500895885,26.279129028320312,207662800,AAPL
2015-02-04,26.24590748797394,26.691091708380146,26.203824901479106,26.48068046569824,280598800,AAPL
2015-02-05,26.68746512419882,26.734161899810683,26.51624983397766,26.669677734375,168984800,AAPL
2015-02-06,26.68747077451509,26.73861398429588,26.33836794045799,26.44510078430176,174826400,AAPL
2015-02-09,26.3606047028478,26.647445716847848,26.333921068225507,26.620763778686523,155559200,AAPL
2015-02-10,26.720822072959173,27.16109267469541,26.718599709283215,27.132184982299805,248034000,AAPL
2015-02-11,27.29896027042317,27.77703152432209,27.238924204334104,27.76813697814941,294247200,AAPL
2015-02-12,28.030515402030247,28.34626580003288,27.92156019868773,28.11945915222168,297898000,AAPL
2015-02-13,28.301799069729444,28.301799069729444,27.939355204291964,28.257328033447266,217088800,AAPL
2015-02-17,28.348494263466083,28.657574243588314,28.221749943522116,28.424097061157227,252609600,AAPL
2015-02-18,28.379618524414152,28.635331172767,28.339593921224484,28.621990203857425,179566800,AAPL
2015-02-19,28.568619259841725,28.69091711398192,28.535266841858697,28.56194877624512,149449600,AAPL
2015-02-20,28.599756429130103,28.795433044433597,28.47301381634293,28.795433044433597,195793600,AAPL
